video_name,vid,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,target_encode_energy_uj,decode_energy_uj,total_energy_uj
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_720p,720,1280,720,yuv420p,59.94006309,5956076,15617,38.591295,76.379569,10,5046.875834319912,547.4861791666667,5594.362013
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_720p,720,1280,720,yuv420p,59.94006309,5956076,3655,37.642375,65.95334,20,3159.070395542265,295.6247571124999,3454.695152654765
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_720p,720,1280,720,yuv420p,59.94006309,5956076,798,35.612522,43.099345,30,2077.3619320337093,165.00573051785716,2242.3676625515664
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_720p,720,1280,720,yuv420p,59.94006309,5956076,181,32.750326,11.940023,40,1791.201885,99.40039716,1890.6022816868635
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_720p,720,1280,720,yuv420p,59.94006309,5956076,71,30.075702,1.390436,50,1685.1578106234467,65.45265825,1750.6104688734467
Gaming_2160P-348d,Gaming_2160P-348d,2160,3840,2160,yuv420p,29.97002997,2983014,49044,54.757238,97.94728,10,10439.972987489477,684.7584810833334,11124.731468572809
Gaming_2160P-348d,Gaming_2160P-348d,2160,3840,2160,yuv420p,29.97002997,2983014,15483,48.25711,97.368808,20,7908.216785161014,445.94151438461535,8354.158299545628
Gaming_2160P-348d,Gaming_2160P-348d,2160,3840,2160,yuv420p,29.97002997,2983014,3522,42.446315,93.219323,30,6098.040973184614,244.405359,6342.446332184614
Gaming_2160P-348d,Gaming_2160P-348d,2160,3840,2160,yuv420p,29.97002997,2983014,773,36.622402,78.396737,40,5575.172430888428,282.608635,5857.781065888427
Gaming_2160P-348d,Gaming_2160P-348d,2160,3840,2160,yuv420p,29.97002997,2983014,229,31.222453,53.199371,50,4909.5083706000005,273.0979463,5182.606317
Gaming_2160P-348d,Gaming_2160P-348d_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,14653,39.444583,93.228238,10,2779.731289833335,277.21961474316936,3056.9509045765044
Gaming_2160P-348d,Gaming_2160P-348d_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,4429,38.882016,91.032293,20,2123.7308725984853,169.90618933088237,2293.6370619293675
Gaming_2160P-348d,Gaming_2160P-348d_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,1136,36.984231,81.936316,30,1677.1762745270262,103.60082378472224,1780.7770983117484
Gaming_2160P-348d,Gaming_2160P-348d_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,272,33.157625,62.346866,40,1453.2007030833338,89.63707952898551,1542.8377826123192
Gaming_2160P-348d,Gaming_2160P-348d_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,83,28.467041,32.919592,50,1360.085559825203,65.41399371,1425.499553536314
Gaming_2160P-348d,Gaming_2160P-348d_downsample_720p,720,1280,720,yuv420p,29.97002997,2983014,7453,35.709722,84.358592,10,1594.7281071333912,205.94843379559745,1800.6765409289887
Gaming_2160P-348d,Gaming_2160P-348d_downsample_720p,720,1280,720,yuv420p,29.97002997,2983014,2339,35.383017,80.684594,20,1174.5934217563529,134.35702873198196,1308.9504504883346
